PricePerLitre,MoneySpent,LitresOfPetrol
1.629,30,18.41620626
1.599,30,18.76172608
1.619,20.13,12.43360099
1.589,40,25.17306482
1.629,40.07,24.59791283
1.579,30.05,19.0310323
1.589,30.04,18.90497168
1.559,40.02,25.67030148
1.589,35.01,22.03272498
1.589,30.05,18.91126495
1.589,30.02,18.89238515
1.6,20,12.5
1.579,40,25.33248892
1.619,30,18.52995676
1.619,20.03,12.37183447
1.619,30.02,25.68006843
1.619,20.01,12.35948116
1.599,30.05,18.79299562
1.589,20,12.58653241
1.619,40.01,24.71278567
1.569,30,19.12045889
1.569,50,31.86743149
1.539,35.09,22.80051982
1.529,50.01,32.70765206
1.539,30,19.49317739
1.539,40,25.99090318
1.538,35,22.75682705
1.579,15.02,9.512349588
1.529,35,22.89077829
1.509,36.19,23.98277005
1.509,30.39,20.13916501
1.509,35,23.19416832
1.539,30,19.49317739
1.539,27.56,17.90773229
1.519,40.11,26.40552995
1.509,20.02,13.26706428
1.529,30,19.6206671
1.509,30,19.88071571
1.489,45,30.22162525
1.499,20.01,13.34889927
1.499,50,33.35557038
